2, Nearest Neighbor, Extra Mileage
instance seed:0,52341.639011,27300.118159
instance seed:1,52989.083045,27300.118159
instance seed:2,52985.176388,27300.118159
instance seed:3,52005.445773,27300.118159
instance seed:4,53335.161494,27300.118159
instance seed:5,53015.666430,27300.118159
instance seed:6,52922.907477,27300.118159
instance seed:7,53330.167576,27300.118159
instance seed:8,52341.639011,27300.118159
instance seed:9,52989.083045,27300.118159
